family,n_decisions,top1,top2,top3,mean_true_rank,mrr,macro_f1,weighted_f1,mean_fit_seconds,median_fit_seconds,mean_model_size_bytes,median_selected_epoch
Logistic Regression,420,0.8595238095238096,0.9547619047619048,0.9785714285714285,1.2285714285714286,0.9195068027210885,0.8600508480556013,0.8590850817071116,0.2326553488809693,0.2275531780000506,23277.0,
RBF-SVM,420,0.7857142857142857,0.9238095238095239,0.9738095238095238,1.3452380952380953,0.8768055555555555,0.7911693531610855,0.7865198099065205,0.2864793868809692,0.27369853600004035,3247317.8571428573,
HistGradientBoosting,420,0.7214285714285714,0.8785714285714286,0.9404761904761905,1.5095238095238095,0.8334920634920635,0.7165509692631409,0.7225345378490662,6.763136347476196,6.798998551499949,1824113.4761904762,
MLP,420,0.6785714285714286,0.8333333333333334,0.9142857142857143,1.6714285714285715,0.8006037414965985,0.6820334072791667,0.6779245758319545,0.7680662682142595,0.7255804984998804,858757.0,4.0
CNN,420,0.8047619047619048,0.9357142857142857,0.969047619047619,1.3142857142857143,0.8882171201814059,0.8090484162562378,0.8039353605888375,1.6544448824523723,1.7042321175000552,489367.0,9.0
CNN + LSTM,420,0.7714285714285715,0.919047619047619,0.9666666666666667,1.3738095238095238,0.8682936507936506,0.7737782067921193,0.7707726265274263,1.7003458492380874,1.4984686949999286,1018324.0,6.0
CNN + BiLSTM,420,0.8071428571428572,0.9428571428571428,0.9666666666666667,1.3095238095238095,0.8902182539682539,0.8145334351254199,0.8079519126646534,1.586264826309527,1.5437669390000792,887764.0,6.0
CNN + BiGRU,420,0.7976190476190477,0.9261904761904762,0.9619047619047619,1.3476190476190477,0.8819897959183675,0.7988243760003856,0.7970264833303301,1.6085555947142758,1.4863205210000388,788436.0,6.0
CNN + Transformer,420,0.7571428571428571,0.9,0.9476190476190476,1.457142857142857,0.8551615646258502,0.7617249165838417,0.75608377916437,1.5005517929761958,1.4206535425000766,1023667.0,4.0
