run_num,run_id,scan_id,ordinal,wheel,direction,tension_state,metadata_correct_digit,before_code,after_code,before_digit,after_digit,truth_digit,is_true_gate,position_valid,collection_mode,action_type,sample_rate,channels,audio_duration_s,motion_duration_s,quality_valid,final_step,event_count,target_rms,target_peak,target_clipped,reference_rms,reference_peak,reference_clipped,audio_overflow,contains_non_finite,scan_start_code,scan_start_digit,transition
20,run_000020,2,10,1,CCW,LOADED,-1,3062,4062,3,4,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.27474,True,171,2,0.0017465904436705087,0.0223388671875,0,0.0024863026350202848,0.03631591796875,0,False,False,4062,4,3→4
21,run_000021,3,1,1,CCW,LOADED,-1,7062,8062,7,8,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.274902,True,171,2,0.001707387967649426,0.0267333984375,0,0.001816382572974742,0.037811279296875,0,False,False,7062,7,7→8
22,run_000022,3,2,1,CCW,LOADED,-1,8062,9062,8,9,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.274159,True,171,2,0.002731075562695475,0.088348388671875,0,0.002143030736198428,0.04205322265625,0,False,False,7062,7,8→9
23,run_000023,3,3,1,CCW,LOADED,-1,9062,0062,9,0,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.274998,True,171,2,0.0017799139400883333,0.02532958984375,0,0.0017016836321735336,0.036773681640625,0,False,False,7062,7,9→0
24,run_000024,3,4,1,CCW,LOADED,-1,0062,1062,0,1,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.275547,True,171,2,0.0016835352113001372,0.019287109375,0,0.00195649027521196,0.031463623046875,0,False,False,7062,7,0→1
25,run_000025,3,5,1,CCW,LOADED,-1,1062,2062,1,2,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.274345,True,171,2,0.001682809137673646,0.0186767578125,0,0.002229271866312587,0.029632568359375,0,False,False,7062,7,1→2
26,run_000026,3,6,1,CCW,LOADED,-1,2062,3062,2,3,3,1,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.275609,True,171,2,0.0015741013684574152,0.01312255859375,0,0.002399374587160003,0.030242919921875,0,False,False,7062,7,2→3
27,run_000027,3,7,1,CCW,LOADED,-1,3062,4062,3,4,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.274221,True,171,2,0.0017806185522672748,0.019317626953125,0,0.002142667856976961,0.02557373046875,0,False,False,7062,7,3→4
28,run_000028,3,8,1,CCW,LOADED,-1,4062,5062,4,5,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.274389,True,171,2,0.0018575232939752097,0.017852783203125,0,0.002087723439068451,0.02978515625,0,False,False,7062,7,4→5
29,run_000029,3,9,1,CCW,LOADED,-1,5062,6062,5,6,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.275371,True,171,2,0.002235311506529286,0.03863525390625,0,0.002296077444610458,0.039764404296875,0,False,False,7062,7,5→6
30,run_000030,3,10,1,CCW,LOADED,-1,6062,7062,6,7,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.274224,True,171,2,0.0022962765808054483,0.044158935546875,0,0.002079647542752999,0.032562255859375,0,False,False,7062,7,6→7
31,run_000031,4,1,1,CCW,UNLOADED,-1,7062,8062,7,8,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.274508,True,171,2,0.005509058749920412,0.185577392578125,0,0.007396982268003628,0.214599609375,0,False,False,7062,7,7→8
32,run_000032,4,2,1,CCW,UNLOADED,-1,8062,9062,8,9,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.275506,True,171,2,0.002216910452425703,0.030853271484375,0,0.002121909537358355,0.037384033203125,0,False,False,7062,7,8→9
33,run_000033,4,3,1,CCW,UNLOADED,-1,9062,0062,9,0,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.275479,True,171,2,0.00234285004846354,0.020599365234375,0,0.0022192944442217715,0.041778564453125,0,False,False,7062,7,9→0
34,run_000034,4,4,1,CCW,UNLOADED,-1,0062,1062,0,1,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.274463,True,171,2,0.0019808838737398237,0.016754150390625,0,0.0020776791362341752,0.032958984375,0,False,False,7062,7,0→1
35,run_000035,4,5,1,CCW,UNLOADED,-1,1062,2062,1,2,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.274701,True,171,2,0.002318094780456298,0.02679443359375,0,0.0022577580314196506,0.036895751953125,0,False,False,7062,7,1→2
36,run_000036,4,6,1,CCW,UNLOADED,-1,2062,3062,2,3,3,1,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.274292,True,171,2,0.004173135065271491,0.137054443359375,0,0.0027659626630981587,0.046844482421875,0,False,False,7062,7,2→3
